course_name,absolute_course_url,school,school_absolute_url,subject_name,start_date
Financial Acumen for Non-Financial Managers,https://www.classcentral.com/course/finance-healthcare-managers-10797,INSEAD,https://www.classcentral.com/university/penn,Business Courses,"8th Jun, 2020"
Circuits and Electronics 3: Applications,https://www.classcentral.com/course/edx-circuits-and-electronics-3-applications-4558,UC Berkeley Executive Education,https://www.classcentral.com/university/mit,Engineering Courses,Self paced
La Reforma Energética de México y sus oportunidades,https://www.classcentral.com/course/edx-la-reforma-energetica-de-mexico-y-sus-oportunidades-8698,UC Berkeley Executive Education,https://www.classcentral.com/university/tecdemonterrey,Engineering Courses,Self paced
La nueva industria eléctrica en México,https://www.classcentral.com/course/edx-la-nueva-industria-electrica-en-mexico-8699,UC Berkeley Executive Education,https://www.classcentral.com/university/tecdemonterrey,Engineering Courses,Self paced
東亞儒家：人文精神二(East Asian Confucianisms: Humanism (2)),https://www.classcentral.com/course/east-asian-confucianisms-humanism2-9629,Columbia Business School Executive Education,https://www.classcentral.com/university/taiwan,Humanities Courses,"22nd Jun, 2020"
Introduction to Multilingual and Multicultural Education,https://www.classcentral.com/course/multilingual-multicultural-education-10435,Columbia Business School Executive Education,https://www.classcentral.com/university/hse,Humanities Courses,"22nd Jun, 2020"
The Importance and Power of Music in our Society,https://www.classcentral.com/course/importance-power-music-our-society-10447,Columbia Business School Executive Education,https://www.classcentral.com/university/leiden,Humanities Courses,"22nd Jun, 2020"
"Blockchain, Cryptoassets, and Decentralized Finance",https://www.classcentral.com/course/blockchain-crypto-decentralized-finance-18999,UC Berkeley Executive Education,https://www.classcentral.com/university/insead,Computer Science Courses,"8th Jun, 2020"
Cybersecurity Capstone,https://www.classcentral.com/course/edx-cybersecurity-capstone-7873,UC Berkeley Executive Education,https://www.classcentral.com/university/rit,Computer Science Courses,"9th Jun, 2020"
Introduction to Blockchain Technologies,https://www.classcentral.com/course/introduction-blockchain-technologies-13377,UC Berkeley Executive Education,https://www.classcentral.com/university/insead,Computer Science Courses,"10th Jun, 2020"
Charles Darwin: El origen del evolucionismo moderno,https://www.classcentral.com/course/darwin-origen-evolucionismo-moderno-17354,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/unam,Science Courses,"22nd Jun, 2020"
Philosophy of Science,https://www.classcentral.com/course/philosophy-of-science-18142,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/penn,Science Courses,"22nd Jun, 2020"
Эпигенетика. Краткий курс по управлению генами,https://www.classcentral.com/course/epigenetika-19557,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/nsu,Science Courses,"22nd Jun, 2020"
